,middle,,end,,beginning,,side,,PV-middle,,PV-end,,PV-beginning,,PV-side,,middle-pT,,side-pT,,middle-xT,,side-xT,,,exact
0.1,0.03124038,0.00000982,0.03129988,0.00000956,0.03130267,0.00000998,0.03132258,0.00001536,0.03120239,0.00000754,0.03114413,0.00000936,0.03113281,0.00000895,0.03112921,0.00001093,0.03162361,0.00000888,0.03173861,0.00000944,0.03125959,0.00001147,0.03116224,0.00000888,0.05,0.03125
0.2,0.03124925,0.00001141,0.0314779,0.00001032,0.03148652,0.00000767,0.03147919,0.00000889,0.03102778,0.00000826,0.03079792,0.000008,0.03080131,0.00000832,0.03081263,0.00000972,0.03266168,0.0000102,0.03313791,0.00001028,0.03132015,0.00000704,0.03088142,0.00000995,0.1,0.03125
0.3,0.03124667,0.00000775,0.03177596,0.00000922,0.03177528,0.00000757,0.03179586,0.00000812,0.03073734,0.00000632,0.03024955,0.00000904,0.03024954,0.00000751,0.03025065,0.00000698,0.03436905,0.00001042,0.03546127,0.00001061,0.03143743,0.00001159,0.0304288,0.00000891,0.15,0.03125
0.4,0.03125201,0.00000914,0.03220694,0.00000776,0.03222463,0.00000795,0.03222233,0.00001152,0.03030646,0.0000059,0.02948307,0.00000846,0.02946492,0.00000713,0.0294814,0.00000898,0.03661535,0.00000858,0.03870523,0.0000094,0.03156128,0.00000986,0.02984395,0.00000865,0.2,0.03125
0.5,0.03125193,0.0000113,0.03282829,0.00000616,0.03282547,0.00000896,0.03282371,0.00001098,0.02974606,0.00000776,0.02850715,0.00000734,0.02849825,0.00000634,0.028495,0.00000684,0.0393298,0.00001132,0.04280655,0.00001066,0.03174226,0.00001097,0.02911653,0.00000664,0.25,0.03125
0.6,0.0312439,0.0000075,0.03366272,0.00000558,0.03365091,0.00000661,0.03366026,0.00000607,0.02901114,0.00000539,0.02732246,0.00000493,0.02731318,0.0000042,0.02731582,0.00000666,0.04233939,0.00000987,0.04776877,0.00001343,0.03194634,0.00000889,0.02830906,0.00000729,0.3,0.03125
0.7,0.03128771,0.00000709,0.03481951,0.00000814,0.03483066,0.00000646,0.03480099,0.00000574,NaN , NaN ,0.02596081,0.00000463,0.02595687,0.00000584,0.02597257,0.00000551,0.04555859,0.00001093,0.05360583,0.00001506,0.03219432,0.00000851,0.02742183,0.00000899,0.35,0.03125
0.8,0.03129208,0.00000803,0.03645477,0.00000893,0.03644803,0.00000711,0.0364134,0.00000719,0.02697262,0.00000581,0.02444449,0.0000036,0.0244404,0.00000353,0.02445286,0.00000359,0.04879795,0.00001267,0.06037211,0.00001358,0.03247285,0.00001011,0.0265077,0.00000659,0.4,0.03125
0.9,0.03142026,0.00000691,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.0228293,0.00000398,0.02284572,0.00000379,0.05201625,0.00001275,0.06809676,0.00001572,0.03281903,0.00000765,0.0256245,0.00000728,0.45,0.03125
1,0.03164959,0.00000554,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.05512304,0.00001132,0.07699394,0.0000143,0.03318268,0.00000921,0.02474233,0.00000461,0.5,0.03125
1.2, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.03403598,0.00001052,0.023119,0.00000497,0.55,0.03125
1.5, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.03563234,0.00000858,NaN , NaN ,0.6,0.03125
1.8, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.65,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.35,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.45,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.75,0.03125
,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.03125
