,middle,,end,,beginning,,side,,PV-middle,,PV-end,,PV-beginning,,PV-side,,,exact
0.1,0.00934054,0.0000049,0.00940222,0.00000409,0.00940811,0.00000393,0.00940719,0.00000184,0.00945313,0.00000336,0.0093888,0.00000333,0.00938628,0.00000354,0.00938908,0.00000157,0.05,0.0094
0.2,0.00916819,0.00000226,0.00942998,0.00000222,0.00942973,0.0000033,0.00942688,0.00000187,0.00963182,0.0000028,0.00935444,0.0000029,0.00934722,0.00000203,0.00935649,0.00000185,0.1,0.0094
0.3,0.00887603,0.00000234,0.00945733,0.00000242,0.00949139,0.00000329,0.00946424,0.00000255,0.00994446,0.00000273,0.00929951,0.00000221,0.00928837,0.00000275,0.00929745,0.00000206,0.15,0.0094
0.4,0.00849037,0.00000272,0.00952232,0.00000266,0.00962113,0.00000274,0.009526,0.00000225,0.0104513,0.00000352,0.00922387,0.00000266,0.00919696,0.00000287,0.00922865,0.00000253,0.2,0.0094
0.5,0.00802303,0.00000221,0.00960683,0.00000307,0.00990235,0.00000353,0.00960611,0.00000323,0.01126995,0.00000416,0.00913515,0.00000343,0.00907203,0.00000253,0.00913316,0.00000239,0.25,0.0094
0.6,0.00748657,0.00000265,0.00973231,0.00000357,0.01055563,0.0000049,0.00973198,0.00000241,0.01264408,0.00000709,0.00902119,0.00000343,0.00893189,0.00000333,0.0090275,0.00000342,0.3,0.0094
0.7,0.00693172,0.00000241,0.00991886,0.00000387,0.01227195,0.00000897,0.00991765,0.00000423,0.01523479,0.00000959,0.00890299,0.00000333,0.00891461,0.00000433,0.00890077,0.00000346,0.35,0.0094
0.8,0.00640328,0.00000241,0.01016523,0.00000356,0.01755324,0.00003508,0.01018062,0.00000364,0.02116346,0.00003421,0.0087878,0.00000396,0.00943368,0.00000957,0.00878581,0.00000325,0.4,0.0094
0.9,0.00598417,0.00000308,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.00866265,0.00000466,0.01214344,0.00002774,0.0086622,0.00000288,0.45,0.0094
1,0.00586472,0.00000354,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.00855307,0.00000358,NaN , NaN ,0.00854993,0.00000348,0.5,0.0094
1.2, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.55,0.0094
1.5, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.6,0.0094
1.8, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.65,0.0094
,,,,,,,,,,,,,,,,,0.7,0.0094
,,,,,,,,,,,,,,,,,0.75,0.0094
,,,,,,,,,,,,,,,,,0.8,0.0094
,,,,,,,,,,,,,,,,,0.85,0.0094
,,,,,,,,,,,,,,,,,0.9,0.0094
,,,,,,,,,,,,,,,,,0.95,0.0094
,,,,,,,,,,,,,,,,,1,0.0094
,,,,,,,,,,,,,,,,,1.05,0.0094
,,,,,,,,,,,,,,,,,1.1,0.0094
,,,,,,,,,,,,,,,,,1.15,0.0094
,,,,,,,,,,,,,,,,,1.2,0.0094
,,,,,,,,,,,,,,,,,1.25,0.0094
,,,,,,,,,,,,,,,,,1.3,0.0094
,,,,,,,,,,,,,,,,,1.35,0.0094
,,,,,,,,,,,,,,,,,1.4,0.0094
,,,,,,,,,,,,,,,,,1.45,0.0094
,,,,,,,,,,,,,,,,,1.5,0.0094
,,,,,,,,,,,,,,,,,1.55,0.0094
,,,,,,,,,,,,,,,,,1.6,0.0094
,,,,,,,,,,,,,,,,,1.65,0.0094
,,,,,,,,,,,,,,,,,1.7,0.0094
,,,,,,,,,,,,,,,,,1.75,0.0094
,,,,,,,,,,,,,,,,,1.8,0.0094
