log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 5.11253309, 0.04710406,5.07140478, 0.03369503,5.19632849, 0.02081179 ,,-0.39794 , 1387.37949854, 151.48781052,486.78170186, 23.01034685,54.89541482, 0.73276098 ,
-0.69897 , 2.61039699, 0.01944518,2.62383309, 0.01113179,2.75229242, 0.01110889 ,,-0.09691 , 915.92676966, 94.70628391,241.72706803, 7.11336497,27.72900558, 0.20346955 ,
-0.39794 , 1.46376479, 0.00694225,1.49246050, 0.00455114,1.59616178, 0.00355977 ,,0.0791812 , 617.56112302, 48.73019408,166.34623875, 5.81360770,18.79603129, 0.13800622 ,
-0.221849 , 1.15694423, 0.00512259,1.18144485, 0.00326430,1.28497887, 0.00164968 ,,0.20412 , 481.25209168, 36.48500629,118.91600038, 2.65700206,14.15240320, 0.07654209 ,
-0.09691 , 1.06547310, 0.00562493,1.07201008, 0.00196490,1.17481703, 0.00131996 ,,0.30103 , 364.22875559, 18.73236368,99.73111319, 2.93420989,11.58233747, 0.07962376 ,
0 , 1.02295341, 0.00299316,1.04782865, 0.00147765,1.15015934, 0.00133808 ,,0.60206 , 208.91610811, 13.67289706,49.97903763, 0.76764368,6.41847062, 0.02436609 ,
0.0791812 , 1.04361968, 0.00362918,1.06764703, 0.00250259,1.16551285, 0.00120842 ,,1 , 76.96745780, 2.21546548,21.50643410, 0.22098890,3.91297242, 0.01061415 ,
0.146128 , 1.08852193, 0.00299174,1.10499055, 0.00226730,1.19918932, 0.00143127 ,,1.30103 , 42.05977518, 0.97216427,12.90861322, 0.11844025,3.57924887, 0.01089218 ,
0.20412 , 1.13690988, 0.00265566,1.15914135, 0.00177818,1.25256254, 0.00135317 ,,1.60206 , 26.16673408, 0.50427652,10.42169742, 0.10792706,3.55591019, 0.01218017 ,
0.255273 , 1.20902001, 0.00365314,1.22937087, 0.00270581,1.31575965, 0.00147968 ,,1.69897 , 23.11803996, 0.35969506,10.18629009, 0.08299079,3.56599087, 0.01004599 ,
0.30103 , 1.27268621, 0.00422580,1.29819838, 0.00286169,1.37938605, 0.00197817 ,,2 , 21.08070337, 0.48587274,10.10988571, 0.11528407,3.56332641, 0.00828041 ,
0.60206 , 2.12570913, 0.00784294,2.16165004, 0.00787761,2.07248429, 0.00403544 ,,2.30103 , 19.34108420, 0.30864722,10.11321376, 0.11222529,3.55520745, 0.01217650 ,
1 , 4.99270892, 0.04365244,4.65280949, 0.01939459,3.24380388, 0.01002262 ,,2.47712 , 19.96308579, 0.33179974,9.87522088, 0.08661648,3.55668480, 0.00855772 ,
1.30103 , 9.18934588, 0.11400700,7.68181278, 0.07004203,3.54828670, 0.00879992 ,,3 , 19.67468861, 0.32305692,10.10624862, 0.10175340,3.56008652, 0.01130080 ,
1.60206 , 14.90112670, 0.20106083,9.61085536, 0.08237926,3.55505960, 0.01097288 ,,4 , 21.14454878, 0.32633965,10.03433490, 0.06292984,3.54356654, 0.01246459 ,
1.69897 , 16.78342949, 0.27203929,9.71790348, 0.08990994,3.55712184, 0.00941133 ,,
2 , 19.66708496, 0.38511633,10.06527263, 0.08219673,3.53917498, 0.00762219 ,,
2.30103 , 20.07113470, 0.41244447,10.10991086, 0.10442246,3.54385455, 0.01042334 ,,
2.47712 , 20.32038326, 0.36131481,10.20279899, 0.07477504,3.54664526, 0.01120823 ,,
3 , 19.90178010, 0.40919305,10.02023726, 0.10520038,3.55875276, 0.01042894 ,,
4 , 19.67433265, 0.22690223,9.96223677, 0.05976702,3.56816005, 0.00895527 ,,
