  0.1,     944,      2.54207642,      0.02639712
  0.2,     582,      1.30223594,      0.00936880
  0.4,     267,      0.71501035,      0.00248399
  0.6,     240,      0.54717053,      0.00209092
  0.8,     174,      0.47106173,      0.00196344
  1.0,     181,      0.44455995,      0.00184831
  1.2,     304,      0.43586433,      0.00204364
  1.4,     213,      0.43836153,      0.00167800
  1.6,     192,      0.45158638,      0.00137027
  1.8,     209,      0.46479395,      0.00209106
  2.0,     322,      0.48415096,      0.00292338
  4.0,     268,      0.76167893,      0.00346914
   10,     316,      1.70968800,      0.00833196
   20,     507,      3.10429463,      0.01849311
   40,     908,      5.11350352,      0.04835233
   50,    1405,      5.79714757,      0.05631630
  100,    1062,      6.61295151,      0.05368570
  200,    1833,      6.75989850,      0.10746297
  300,     981,      6.75340906,      0.06943732
 1000,    1046,      6.67208073,      0.06735507
10000,    1625,      6.82777119,      0.08826214
