log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 2.59318664, 0.03352339,2.51294991, 0.01683113,2.63184340, 0.01098572 ,
-0.69897 , 1.29185715, 0.00768679,1.31511899, 0.00658593,1.42051048, 0.00218094 ,
-0.39794 , 0.71590552, 0.00452950,0.73391402, 0.00177625,0.83651890, 0.00098216 ,
-0.221849 , 0.54107686, 0.00485999,0.56531568, 0.00107273,0.66559054, 0.00069402 ,
-0.09691 , 0.47369292, 0.00206772,0.49298093, 0.00089930,0.59955302, 0.00044841 ,
0 , 0.44221780, 0.00218710,0.46867702, 0.00065443,0.57122435, 0.00044155 ,
0.0791812 , 0.43774670, 0.00155232,0.46113623, 0.00066093,0.56260707, 0.00038397 ,
0.146128 , 0.44323710, 0.00224412,0.46540890, 0.00076052,0.56887250, 0.00041989 ,
0.20412 , 0.45224519, 0.00104020,0.47357301, 0.00047781,0.58139843, 0.00041811 ,
0.255273 , 0.46444088, 0.00180705,0.49207257, 0.00074661,0.59899036, 0.00041602 ,
0.30103 , 0.49030736, 0.00143074,0.51280596, 0.00064441,0.61668834, 0.00046904 ,
0.60206 , 0.76076702, 0.00278599,0.77876682, 0.00107438,0.85345585, 0.00071114 ,
1 , 1.71294832, 0.01217617,1.68611484, 0.00476439,1.48551328, 0.00241913 ,
1.30103 , 3.27371136, 0.02332863,3.00171235, 0.00965963,2.10776079, 0.00295318 ,
1.60206 , 5.83147623, 0.04965608,4.71357343, 0.01869385,2.91661967, 0.00732703 ,
1.69897 , 6.87386202, 0.07452904,5.35273648, 0.02820188,3.26752024, 0.00548388 ,
2 , 10.66637830, 0.07684910,7.55798204, 0.05351093,4.50972950, 0.00960699 ,
2.30103 , 15.06510018, 0.20045048,10.58831037, 0.07338460,6.30111205, 0.02404363 ,
2.47712 , 18.27923994, 0.29068811,13.16991946, 0.11222336,7.66461244, 0.02393660 ,
3 , 34.49570122, 0.83341776,23.79252282, 0.29358131,13.88702070, 0.06675638 ,
4 , 104.50372147, 3.23797357,78.77460586, 1.91840502,42.81119554, 0.38872123 ,
