dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,dt,exact
0.10 , 0.49877329 , 0.00004668 ,	0.49998719 , 0.00003442 ,	0.49997322 , 0.00003508 ,	0.50003517 , 0.00003505 ,	0.50120533 , 0.00005356 ,	0.49998956 , 0.00005115 ,	0.50006655 , 0.00005108 ,	0.50000953 , 0.00002679 ,					0,0.5
0.20 , 0.49503903 , 0.00005135 ,	0.49995626 , 0.00004431 ,	0.49998191 , 0.00005190 ,	0.49998281 , 0.00002502 ,	0.50504985 , 0.00005218 ,	0.49994446 , 0.00005100 ,	0.50005191 , 0.00004796 ,	0.50002744 , 0.00003688 ,					0.02,0.5
0.30 , 0.48878567 , 0.00004239 ,	0.49991732 , 0.00005292 ,	0.49998848 , 0.00004845 ,	0.49993521 , 0.00003413 ,	0.51153906 , 0.00005182 ,	0.50000554 , 0.00006070 ,	0.49998039 , 0.00005093 ,	0.50001575 , 0.00003948 ,					0.04,0.5
0.40 , 0.48005460 , 0.00005471 ,	0.49999938 , 0.00005006 ,	0.49990581 , 0.00005323 ,	0.49998837 , 0.00003858 ,	0.52076000 , 0.00005367 ,	0.49999283 , 0.00005268 ,	0.49993549 , 0.00004128 ,	0.49999964 , 0.00004634 ,					0.06,0.5
0.50 , 0.46872673 , 0.00005100 ,	0.50005070 , 0.00003319 ,	0.49996572 , 0.00006692 ,	0.49999745 , 0.00005278 ,	0.53333743 , 0.00004866 ,	0.49997593 , 0.00005436 ,	0.49995481 , 0.00004349 ,	0.50002253 , 0.00004193 ,					0.08,0.5
0.60 , 0.45492344 , 0.00005189 ,	0.49997970 , 0.00005274 ,	0.50003536 , 0.00005399 ,	0.50004212 , 0.00003208 ,	0.54942135 , 0.00006156 ,	0.50003169 , 0.00004928 ,	0.50005785 , 0.00006668 ,	0.50008311 , 0.00004210 ,					0.1,0.5
0.70 , 0.43875043 , 0.00004256 ,	0.49998667 , 0.00005932 ,	0.50005876 , 0.00004073 ,	0.49998737 , 0.00004532 ,	0.56976582 , 0.00004236 ,	0.50001141 , 0.00008028 ,	0.50008472 , 0.00006217 ,	0.50000423 , 0.00003147 ,					0.12,0.5
0.80 , 0.41992768 , 0.00005084 ,	0.50001929 , 0.00004964 ,	0.49995003 , 0.00005822 ,	0.49999694 , 0.00003266 ,	0.59517543 , 0.00005065 ,	0.49999652 , 0.00005775 ,	0.50002085 , 0.00004900 ,	0.49989313 , 0.00003888 ,					0.14,0.5
0.90 , 0.39881355 , 0.00005818 ,	0.50001439 , 0.00003844 ,	0.50006466 , 0.00006070 ,	0.49998803 , 0.00004973 ,	0.62696247 , 0.00006982 ,	0.49986850 , 0.00004404 ,	0.50006959 , 0.00004848 ,	0.49996382 , 0.00005758 ,					0.16,0.5
1.00 , 0.37492465 , 0.00003684 ,	0.49995559 , 0.00006572 ,	0.50000333 , 0.00006052 ,	0.49988731 , 0.00005514 ,	0.66682136 , 0.00009054 ,	0.50000040 , 0.00004474 ,	0.49995475 , 0.00004635 ,	0.49997402 , 0.00004703 ,					0.18,0.5
