dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49998578 , 0.00006993 ,	0.50123894 , 0.00007003 ,	0.50130842 , 0.00007505 ,	0.50138385 , 0.00006783 ,	0.50000536 , 0.00006083 ,	0.49873587 , 0.00006968 ,	0.49871502 , 0.00006937 ,	0.49873330 , 0.00008292 ,	0.50041981 , 0.00006859 ,	0.50170706 , 0.00007367 ,	0.50030267 , 0.00008703 ,	0.49923766 , 0.00005684 ,	0,0.5
0.20 , 0.49995858 , 0.00006115 ,	0.50508340 , 0.00006954 ,	0.50499725 , 0.00007198 ,	0.50500034 , 0.00009574 ,	0.50007913 , 0.00007407 ,	0.49500871 , 0.00008079 ,	0.49503849 , 0.00007259 ,	0.49499771 , 0.00008112 ,	0.50165856 , 0.00008904 ,	0.50682679 , 0.00007336 ,	0.50162984 , 0.00009745 ,	0.49662366 , 0.00007659 ,	0.02,0.5
0.30 , 0.49996686 , 0.00008275 ,	0.51147670 , 0.00007073 ,	0.51145821 , 0.00006108 ,	0.51143849 , 0.00009600 ,	0.49999143 , 0.00005261 ,	0.48880268 , 0.00006124 ,	0.48862004 , 0.00007927 ,	0.48882012 , 0.00008276 ,	0.50375861 , 0.00007614 ,	0.51547024 , 0.00008900 ,	0.50391862 , 0.00007833 ,	0.49241503 , 0.00005536 ,	0.04,0.5
0.40 , 0.49993415 , 0.00006306 ,	0.52085730 , 0.00007497 ,	0.52091485 , 0.00004510 ,	0.52078245 , 0.00006123 ,	0.50003568 , 0.00007931 ,	0.47991743 , 0.00006799 ,	0.48011925 , 0.00005914 ,	0.47994968 , 0.00006785 ,	0.50645803 , 0.00006215 ,	0.52791292 , 0.00008739 ,	0.50697195 , 0.00006319 ,	0.48661447 , 0.00006675 ,	0.06,0.5
0.50 , 0.49998010 , 0.00007536 ,	0.53337767 , 0.00005770 ,	0.53327343 , 0.00008364 ,	0.53341283 , 0.00007197 ,	0.49999929 , 0.00005068 ,	0.46873759 , 0.00005471 ,	0.46881376 , 0.00006128 ,	0.46872354 , 0.00008142 ,	0.51026947 , 0.00007771 ,	0.54465371 , 0.00006505 ,	0.51109074 , 0.00008389 ,	0.47929693 , 0.00007535 ,	0.08,0.5
0.60 , 0.50003093 , 0.00006663 ,	0.54945423 , 0.00009411 ,	0.54934162 , 0.00004809 ,	0.54955703 , 0.00008276 ,	0.50003592 , 0.00008009 ,	0.45503377 , 0.00003798 ,	0.45499639 , 0.00006085 ,	0.45498186 , 0.00008134 ,	0.51459392 , 0.00008907 ,	0.56634097 , 0.00009485 ,	0.51626145 , 0.00006266 ,	0.47029770 , 0.00006740 ,	0.1,0.5
0.70 , 0.50010701 , 0.00007406 ,	0.56986203 , 0.00007852 ,	0.56976486 , 0.00006364 ,	0.56989225 , 0.00008525 ,	0.49986123 , 0.00006254 ,	0.43881252 , 0.00005603 ,	0.43878081 , 0.00005892 ,	0.43884162 , 0.00008524 ,	0.51942924 , 0.00007616 ,	0.59352800 , 0.00005653 ,	0.52299068 , 0.00009841 ,	0.45982803 , 0.00007791 ,	0.12,0.5
0.80 , 0.50001036 , 0.00006413 ,	0.59525700 , 0.00008687 ,	0.59527507 , 0.00009917 ,	0.59522472 , 0.00010937 ,	0.49987288 , 0.00008318 ,	0.41991427 , 0.00004406 ,	0.41999872 , 0.00005548 ,	0.42006271 , 0.00005545 ,	0.52509906 , 0.00006548 ,	0.62680624 , 0.00005718 ,	0.53113864 , 0.00006550 ,	0.44767049 , 0.00007313 ,	0.14,0.5
0.90 , 0.50005859 , 0.00009512 ,	0.62689768 , 0.00008466 ,	0.62690207 , 0.00007405 ,	0.62686725 , 0.00009088 ,	0.49994614 , 0.00007425 ,	0.39865671 , 0.00003967 ,	0.39872965 , 0.00003264 ,	0.39876104 , 0.00003876 ,	0.53130220 , 0.00008111 ,	0.66732102 , 0.00010831 ,	0.54111515 , 0.00006668 ,	0.43412495 , 0.00005069 ,	0.16,0.5
1.00 , 0.49994385 , 0.00006468 ,	0.66653724 , 0.00009419 ,	0.66670658 , 0.00008047 ,	0.66671817 , 0.00008098 ,	0.50001463 , 0.00007755 ,	0.37501065 , 0.00005323 ,	0.37505493 , 0.00004011 ,	0.37493921 , 0.00005447 ,	0.53793644 , 0.00007821 ,	0.71567989 , 0.00011821 ,	0.55311835 , 0.00006104 ,	0.41944023 , 0.00005287 ,	0.18,0.5
1.20 , 0.50002107 , 0.00007833 ,	0.78128686 , 0.00007635 ,	0.78120659 , 0.00009486 ,	0.78117012 , 0.00008231 ,	0.49992833 , 0.00008245 ,	0.32006987 , 0.00003221 ,	0.31999907 , 0.00004642 ,	0.32003904 , 0.00002205 ,	0.55289316 , 0.00008310 ,	0.84280855 , 0.00014507 ,	0.58597671 , 0.00008933 ,	0.38679011 , 0.00004374 ,	0.2,0.5
1.50 , 0.50000921 , 0.00006613 ,	1.14318300 , 0.00014278 ,	1.14276153 , 0.00014079 ,	1.14274835 , 0.00014042 ,	0.50008454 , 0.00006388 ,	0.21878267 , 0.00002023 ,	0.21877223 , 0.00002320 ,	0.21876155 , 0.00002651 ,	0.57780468 , 0.00006860 ,	1.14474583 , 0.00014771 ,	0.67227814 , 0.00008866 ,	0.33493176 , 0.00004459 ,	0.22,0.5
1.80 , 0.49998930 , 0.00006663 ,	2.63166513 , 0.00034712 ,	2.63148618 , 0.00058581 ,	2.63180335 , 0.00057062 ,	0.50000431 , 0.00007659 ,	0.09497842 , 0.00001627 ,	0.09494429 , 0.00001797 ,	0.09497441 , 0.00002001 ,	0.60456873 , 0.00007194 ,	1.62020804 , 0.00023673 ,	0.88042806 , 0.00012384 ,	0.29936446 , 0.00004228 ,	0.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.74,0.5
