dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,dt,exact
0.10 , 0.49881209 , 0.00004346 ,	0.49994561 , 0.00005442 ,	0.49997999 , 0.00005446 ,	0.50005905 , 0.00003511 ,	0.50119438 , 0.00004765 ,	0.49990336 , 0.00006760 ,	0.49997387 , 0.00005355 ,	0.50000164 , 0.00003061 ,					0,0.5
0.20 , 0.49495721 , 0.00005695 ,	0.50002298 , 0.00004978 ,	0.49999748 , 0.00005508 ,	0.50000715 , 0.00002752 ,	0.50520204 , 0.00006623 ,	0.49998390 , 0.00004537 ,	0.49995610 , 0.00005019 ,	0.49999373 , 0.00004120 ,					0.02,0.5
0.30 , 0.48873517 , 0.00005017 ,	0.49989212 , 0.00005343 ,	0.49999895 , 0.00004898 ,	0.49997100 , 0.00003963 ,	0.51152186 , 0.00006133 ,	0.49995074 , 0.00004654 ,	0.50002430 , 0.00003334 ,	0.50005195 , 0.00003254 ,					0.04,0.5
0.40 , 0.47998176 , 0.00004936 ,	0.49993555 , 0.00005548 ,	0.49992811 , 0.00005717 ,	0.49995193 , 0.00002681 ,	0.52081644 , 0.00005522 ,	0.49993280 , 0.00004593 ,	0.49993865 , 0.00004329 ,	0.49996226 , 0.00002854 ,					0.06,0.5
0.50 , 0.46878246 , 0.00005369 ,	0.50003155 , 0.00004047 ,	0.49999964 , 0.00004699 ,	0.50003538 , 0.00003172 ,	0.53332691 , 0.00006082 ,	0.50007389 , 0.00004410 ,	0.50007526 , 0.00004252 ,	0.50001049 , 0.00004229 ,					0.08,0.5
0.60 , 0.45500145 , 0.00004977 ,	0.49993081 , 0.00005285 ,	0.49991532 , 0.00005075 ,	0.49998505 , 0.00004862 ,	0.54934816 , 0.00006487 ,	0.49999855 , 0.00004983 ,	0.49993175 , 0.00004525 ,	0.49988863 , 0.00003100 ,					0.1,0.5
0.70 , 0.43882694 , 0.00004010 ,	0.50004403 , 0.00004805 ,	0.50006573 , 0.00005808 ,	0.50001054 , 0.00003759 ,	0.56980450 , 0.00006545 ,	0.50001734 , 0.00004361 ,	0.50002847 , 0.00003162 ,	0.49999031 , 0.00004365 ,					0.12,0.5
0.80 , 0.42004162 , 0.00004749 ,	0.50009643 , 0.00004401 ,	0.50003637 , 0.00004869 ,	0.50005197 , 0.00004893 ,	0.59532928 , 0.00007261 ,	0.50000772 , 0.00004183 ,	0.49999220 , 0.00005274 ,	0.49995451 , 0.00004552 ,					0.14,0.5
0.90 , 0.39875611 , 0.00005929 ,	0.49989296 , 0.00005531 ,	0.49996918 , 0.00006165 ,	0.49996359 , 0.00004342 ,	0.62678934 , 0.00008175 ,	0.49999604 , 0.00006126 ,	0.50011470 , 0.00006259 ,	0.50002047 , 0.00005473 ,					0.16,0.5
1.00 , 0.37500518 , 0.00003622 ,	0.50000981 , 0.00005870 ,	0.49998510 , 0.00005244 ,	0.50002998 , 0.00004999 ,	0.66674641 , 0.00009295 ,	0.50000877 , 0.00006410 ,	0.50006899 , 0.00006206 ,	0.49991576 , 0.00004017 ,					0.18,0.5
1.20 , 0.31997753 , 0.00004243 ,	0.49994192 , 0.00006412 ,	0.50005140 , 0.00003511 ,	0.49999202 , 0.00004437 ,	0.78128584 , 0.00010766 ,	0.49997463 , 0.00005631 ,	0.50001421 , 0.00004667 ,	0.50005004 , 0.00007041 ,					0.2,0.5
1.50 , 0.21881442 , 0.00005224 ,	0.50000407 , 0.00006642 ,	0.49993275 , 0.00005303 ,	0.50008050 , 0.00006646 ,	1.14294121 , 0.00018321 ,	0.49999895 , 0.00006997 ,	0.50001934 , 0.00007307 ,	0.50000708 , 0.00006238 ,					0.22,0.5
1.80 , 0.09500407 , 0.00002713 ,	0.50012283 , 0.00010069 ,	0.49991572 , 0.00007387 ,	0.49994248 , 0.00006260 ,	2.63102371 , 0.00072479 ,	0.49996470 , 0.00005618 ,	0.50004378 , 0.00004987 ,	0.50000238 , 0.00007885 ,					0.24,0.5
,,,,,,,,,,,,,,,,, 												0.26,0.5
,,,,,,,,,,,,,,,,, 												0.28,0.5
,,,,,,,,,,,,,,,,, 												0.3,0.5
,,,,,,,,,,,,,,,,, 												0.32,0.5
,,,,,,,,,,,,,,,,, 												0.34,0.5
,,,,,,,,,,,,,,,,, 												0.36,0.5
,,,,,,,,,,,,,,,,, 												0.38,0.5
,,,,,,,,,,,,,,,,, 												0.4,0.5
,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,, 												1.74,0.5
