dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,dt,exact
0.05 , 0.49937188 , 0.00001507 ,	0.49998217 , 0.00003178 ,	0.49996934 , 0.00002395 ,	0.50000947 , 0.00001446 ,	0.50067571 , 0.00002516 ,	0.49998571 , 0.00002767 ,	0.50004955 , 0.00002526 ,	0.50001774 , 0.00001752 ,					0,0.5
0.10 , 0.49743231 , 0.00002796 ,	0.50005296 , 0.00002285 ,	0.50004047 , 0.00003611 ,	0.50000826 , 0.00002437 ,	0.50258801 , 0.00002063 ,	0.49999201 , 0.00003030 ,	0.49998821 , 0.00002648 ,	0.49999292 , 0.00001955 ,					0.02,0.5
0.20 , 0.48982208 , 0.00002325 ,	0.50003401 , 0.00002087 ,	0.50000165 , 0.00003046 ,	0.50002403 , 0.00001524 ,	0.51063389 , 0.00003894 ,	0.49999933 , 0.00002299 ,	0.49997745 , 0.00002764 ,	0.50001273 , 0.00001904 ,					0.04,0.5
0.30 , 0.47727578 , 0.00003292 ,	0.50004588 , 0.00002873 ,	0.50048641 , 0.00002766 ,	0.50008501 , 0.00002512 ,	0.52554963 , 0.00003384 ,	0.50001194 , 0.00002087 ,	0.50011034 , 0.00003096 ,	0.50001879 , 0.00002543 ,					0.06,0.5
0.35 , 0.46910477 , 0.00003012 ,	0.50010791 , 0.00003414 ,	0.50137661 , 0.00003195 ,	0.50007955 , 0.00003189 ,	0.53644902 , 0.00003395 ,	0.50007620 , 0.00002645 ,	0.50035573 , 0.00003141 ,	0.50003359 , 0.00002561 ,					0.08,0.5
0.40 , 0.45979683 , 0.00003601 ,	0.50015714 , 0.00003571 ,	0.50347992 , 0.00002397 ,	0.50011429 , 0.00002954 ,	0.55048921 , 0.00003676 ,	0.50005151 , 0.00003308 ,	0.50091690 , 0.00003050 ,	0.50004344 , 0.00001614 ,					0.1,0.5
0.45 , 0.44949152 , 0.00002819 ,	0.50020495 , 0.00003515 ,	0.50804439 , 0.00004327 ,	0.50022089 , 0.00003613 ,	0.56863792 , 0.00004894 ,	0.50006270 , 0.00003519 ,	0.50226468 , 0.00003717 ,	0.50003487 , 0.00004144 ,					0.12,0.5
0.48 , 0.44292129 , 0.00002942 ,	0.50028201 , 0.00003572 ,	0.51297796 , 0.00003467 ,	0.50029763 , 0.00002920 ,	0.58231307 , 0.00005085 ,	0.50009774 , 0.00002926 ,	0.50371719 , 0.00003493 ,	0.50014234 , 0.00004208 ,					0.14,0.5
0.50 , 0.43838413 , 0.00002807 ,	NaN , NaN ,	0.51769936 , 0.00003694 ,	NaN , NaN ,	0.59278931 , 0.00004386 ,	0.50007094 , 0.00005069 ,	0.50516186 , 0.00003216 ,	0.50019954 , 0.00004459 ,					0.16,0.5
0.52 , 0.43382831 , 0.00003588 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.50010821 , 0.00003554 ,	0.50708332 , 0.00003728 ,	0.50015844 , 0.00003760 ,					0.18,0.5
0.55 , 0.42701799 , 0.00004320 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.50014133 , 0.00004048 ,	0.51127768 , 0.00003319 ,	0.50014757 , 0.00003210 ,					0.2,0.5
0.60 , 0.41598655 , 0.00002754 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.50028781 , 0.00004278 ,	0.52321262 , 0.00004301 ,	0.50021820 , 0.00004114 ,					0.22,0.5
0.62 , 0.41177970 , 0.00003056 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.50016441 , 0.00004971 ,	0.53062580 , 0.00005098 ,	NaN , NaN ,					0.24,0.5
0.65 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.26,0.5
0.70 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.28,0.5
0.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.3,0.5
0.90 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.32,0.5
1.00 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.34,0.5
1.20 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.36,0.5
1.50 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.38,0.5
1.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,					0.4,0.5
,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,, 												1.74,0.5
