  0.1,     886,     10.18234090,      0.09075275
  0.2,     566,      5.15435944,      0.03004104
  0.4,     218,      2.64977105,      0.01139888
  0.6,     211,      1.86877719,      0.00630877
  0.8,      97,      1.49427046,      0.00370448
  1.0,     122,      1.30584569,      0.00389232
  1.2,      83,      1.18639004,      0.00353741
  1.4,      93,      1.12366782,      0.00303211
  1.6,      59,      1.07354381,      0.00191969
  1.8,      63,      1.05515614,      0.00254927
  2.0,     105,      1.04937736,      0.00221238
  4.0,     149,      1.28086791,      0.00524920
   10,     316,      2.46019768,      0.02199375
   20,     531,      3.92548643,      0.03599689
   40,     541,      4.91797658,      0.04946881
   50,     624,      5.00046675,      0.05603282
  100,     781,      5.13485650,      0.03958599
  200,     744,      5.21018232,      0.04875723
  300,     613,      5.03598613,      0.04964708
 1000,     659,      5.01493685,      0.05371537
10000,     686,      5.15865678,      0.04782871
