log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 4.97425705, 0.05616751,5.05088663, 0.04944394,5.21573483, 0.02426621 ,,-0.39794 , 1432.82299324, 101.57269973,458.07952330, 20.23053922,55.09768764, 0.50525804 ,
-0.69897 , 2.64066075, 0.02305137,2.67173065, 0.01250298,2.73998361, 0.00882924 ,,-0.09691 , 835.85057714, 62.18443657,240.90739919, 9.34613808,27.94184868, 0.24126391 ,
-0.39794 , 1.47673398, 0.00617304,1.49246367, 0.00486882,1.60193617, 0.00392754 ,,0.0791812 , 521.13651222, 30.05131697,171.49857779, 6.18124437,18.52867311, 0.12830065 ,
-0.221849 , 1.15937820, 0.00651766,1.18525929, 0.00454755,1.28258505, 0.00177094 ,,0.20412 , 444.41699770, 32.53526302,123.94247727, 4.36607188,14.23894766, 0.04849375 ,
-0.09691 , 1.05015301, 0.00442502,1.07492223, 0.00327644,1.17676211, 0.00169714 ,,0.30103 , 352.01600571, 14.32494132,96.63754048, 2.52125893,11.61694668, 0.05647078 ,
0 , 1.02173582, 0.00233333,1.04865284, 0.00171712,1.14901716, 0.00149714 ,,0.60206 , 203.13402510, 7.62823008,49.50996586, 0.62794307,6.35746162, 0.02989021 ,
0.0791812 , 1.04159345, 0.00407511,1.06415527, 0.00197909,1.16259070, 0.00120043 ,,1 , 75.17318790, 1.78442971,22.07642383, 0.24627270,3.92312049, 0.01644357 ,
0.146128 , 1.07928487, 0.00280745,1.10483080, 0.00242654,1.20102836, 0.00146440 ,,1.30103 , 42.19948271, 1.22160765,13.16704433, 0.10889697,3.57611619, 0.00968157 ,
0.20412 , 1.13215196, 0.00289358,1.16436373, 0.00244022,1.25396010, 0.00147771 ,,1.60206 , 25.42661762, 0.54544970,10.46111766, 0.08799187,3.56604017, 0.01069894 ,
0.255273 , 1.20602850, 0.00639299,1.22311132, 0.00286460,1.31423614, 0.00134439 ,,1.69897 , 22.86227013, 0.27654215,10.29631206, 0.07641469,3.54435570, 0.01199336 ,
0.30103 , 1.27557707, 0.00251964,1.29428188, 0.00289340,1.37837566, 0.00173817 ,,2 , 20.07637306, 0.38779209,10.16374358, 0.09609337,3.55397586, 0.00761826 ,
0.60206 , 2.14608450, 0.01178132,2.16758906, 0.00989596,2.07897715, 0.00414396 ,,2.30103 , 20.71799571, 0.26441930,9.96095386, 0.09132932,3.54655639, 0.01020113 ,
1 , 5.04285086, 0.05585494,4.69799415, 0.03649965,3.27086181, 0.00675946 ,,2.47712 , 19.55694897, 0.31230095,10.04383134, 0.07322956,3.54175475, 0.01216099 ,
1.30103 , 9.24533302, 0.08558896,7.65281322, 0.05984668,3.54579942, 0.01031598 ,,3 , 19.91776315, 0.32690387,9.96220333, 0.08305034,3.53840741, 0.00749279 ,
1.60206 , 15.28777445, 0.22407616,9.79764999, 0.12112748,3.55535871, 0.01090192 ,,4 , 20.03883511, 0.26679981,10.10611052, 0.09036691,3.54203733, 0.00707205 ,
1.69897 , 16.91973725, 0.23824074,9.86532192, 0.07645950,3.54800958, 0.01057122 ,,
2 , 19.26180705, 0.32049561,10.08154649, 0.08989323,3.54544413, 0.00813681 ,,
2.30103 , 20.05699550, 0.33191735,9.97549140, 0.10658244,3.55413012, 0.00900311 ,,
2.47712 , 20.00921352, 0.41448007,10.10933296, 0.06778512,3.52898892, 0.00839164 ,,
3 , 19.53374549, 0.26885765,10.17411490, 0.08417150,3.54723381, 0.01141670 ,,
4 , 19.87693435, 0.49786304,10.16772352, 0.09272664,3.55221150, 0.01234012 ,,
