log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 10.15403590, 0.09941080,10.04080630, 0.07055991,10.17432205, 0.04119376 ,,-0.39794 , 687.99137094, 115.02569846,236.94879552, 15.46950636,28.66839371, 0.55401417 ,
-0.69897 , 5.09407777, 0.05695896,5.06329012, 0.02239523,5.21319051, 0.02377654 ,,-0.09691 , 478.09888058, 68.18772866,121.01395594, 5.37191301,14.54364567, 0.14496752 ,
-0.39794 , 2.60241760, 0.01127325,2.63982675, 0.00896332,2.74689562, 0.00686024 ,,0.0791812 , 335.70033691, 38.28263715,81.02803023, 3.11847750,9.89062279, 0.08249430 ,
-0.221849 , 1.83918247, 0.00850904,1.87049579, 0.00658253,1.97876449, 0.00282214 ,,0.20412 , 257.04532355, 29.79229643,59.15872987, 1.73212958,7.49783667, 0.04934670 ,
-0.09691 , 1.50568117, 0.01185005,1.50316090, 0.00478554,1.61275930, 0.00241971 ,,0.30103 , 173.69439982, 11.92332498,50.35991853, 2.06291541,6.18040722, 0.04942546 ,
0 , 1.27519959, 0.00466187,1.30136490, 0.00248032,1.41824754, 0.00187068 ,,0.60206 , 105.10688444, 7.74441505,25.22554342, 0.49715567,3.48617286, 0.01536558 ,
0.0791812 , 1.16632211, 0.00481282,1.18846975, 0.00303682,1.30382820, 0.00132043 ,,1 , 38.03101522, 1.48776715,10.81666216, 0.15495288,2.21591739, 0.00729611 ,
0.146128 , 1.09715581, 0.00279337,1.11427617, 0.00238666,1.23400301, 0.00191433 ,,1.30103 , 20.84320574, 0.63391202,6.55083957, 0.07602931,2.05689879, 0.00683453 ,
0.20412 , 1.05015190, 0.00323308,1.07563009, 0.00179986,1.19603065, 0.00118739 ,,1.60206 , 13.14568349, 0.32097481,5.26787876, 0.06936839,2.04324498, 0.00804368 ,
0.255273 , 1.03885126, 0.00368599,1.05886370, 0.00284630,1.18029500, 0.00130740 ,,1.69897 , 11.63968918, 0.19051704,5.15567645, 0.06126081,2.04917942, 0.00734819 ,
0.30103 , 1.02341639, 0.00387713,1.05447527, 0.00265346,1.17458150, 0.00210645 ,,2 , 10.73074292, 0.35000442,5.14363018, 0.06956623,2.04519870, 0.00559672 ,
0.60206 , 1.26168257, 0.00478381,1.30350715, 0.00502872,1.35928299, 0.00280944 ,,2.30103 , 9.56224444, 0.16826661,5.17032159, 0.07078099,2.04167412, 0.00816464 ,
1 , 2.58961069, 0.02908555,2.43340350, 0.01263287,1.88827053, 0.00674672 ,,2.47712 , 10.08915922, 0.21492080,5.00669691, 0.06407428,2.04337169, 0.00520056 ,
1.30103 , 4.65965187, 0.06709917,3.92086749, 0.04448660,2.03863754, 0.00592730 ,,3 , 9.78671153, 0.19807466,5.13751672, 0.06049430,2.04556803, 0.00664113 ,
1.60206 , 7.47550720, 0.12611886,4.90341769, 0.05999667,2.03700114, 0.00700650 ,,4 , 10.56767859, 0.18922517,5.08950746, 0.04833160,2.03368945, 0.00778842 ,
1.69897 , 8.44272164, 0.17386672,4.93353810, 0.05973850,2.04486291, 0.00613016 ,,
2 , 9.85341388, 0.23809048,5.11903205, 0.05118165,2.02901325, 0.00513848 ,,
2.30103 , 10.19741787, 0.24849167,5.14092675, 0.06055502,2.03277427, 0.00743423 ,,
2.47712 , 10.28171209, 0.23416958,5.19507077, 0.04489312,2.03522611, 0.00739034 ,,
3 , 10.07582866, 0.23333648,5.09314340, 0.06122669,2.04174738, 0.00750953 ,,
4 , 9.86950022, 0.14069967,5.07578827, 0.04055794,2.05368446, 0.00491743 ,,
