log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 9.90329816, 0.17478334,10.06759379, 0.05815337,10.12288662, 0.03282575 ,
-0.69897 , 4.86501877, 0.11886369,5.10386992, 0.03106594,5.19487034, 0.01352352 ,
-0.39794 , 2.60100954, 0.02371716,2.65218533, 0.01059461,2.75485363, 0.00519450 ,
-0.221849 , 1.85458013, 0.02323487,1.86609260, 0.00588410,1.97080007, 0.00422103 ,
-0.09691 , 1.45746544, 0.03429846,1.50726241, 0.00362917,1.60883174, 0.00263250 ,
0 , 1.26299252, 0.04354797,1.29588704, 0.00309122,1.40676488, 0.00212742 ,
0.0791812 , 1.14751831, 0.01437297,1.18928526, 0.00288643,1.29600119, 0.00155325 ,
0.146128 , 1.08432585, 0.01524850,1.11324156, 0.00163337,1.22849504, 0.00113408 ,
0.20412 , 1.05785007, 0.01582364,1.07658737, 0.00208899,1.19208571, 0.00152507 ,
0.255273 , 0.99638212, 0.05142932,1.05790874, 0.00180271,1.17470644, 0.00163207 ,
0.30103 , 1.00617958, 0.00864127,1.05332212, 0.00242149,1.17027746, 0.00138663 ,
0.60206 , 1.28824039, 0.03697271,1.30088203, 0.00482727,1.44194123, 0.00387854 ,
1 , 2.51308903, 0.09928254,2.67905898, 0.01723193,2.80694366, 0.01066336 ,
1.30103 , 5.10517990, 0.19572610,5.13143855, 0.05945925,5.22278582, 0.03067884 ,
1.60206 , 9.64959291, 0.33313812,9.95919871, 0.20485402,10.40360382, 0.08153759 ,
1.69897 , 12.34658081, 0.30375125,12.41128867, 0.17852650,12.61003995, 0.13417218 ,
2 , 25.27195473, 0.77308945,25.54725826, 0.75972280,25.00422261, 0.36043712 ,
2.30103 , 44.36852783, 1.59814624,46.77702002, 1.89949851,48.75820387, 0.89040476 ,
2.47712 , 76.40273830, 5.45483386,72.97372712, 3.58014886,74.89774925, 2.36879085 ,
3 , 204.75761387, 20.86215265,250.24547850, 24.41190476,264.89406396, 14.46649222 ,
4 , 906.03103101, 149.68067033,1798.09835687, 263.51737597,2040.94723461, 213.07072598 ,
