log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 10.06854102, 0.10525830,10.22839656, 0.07791614,10.21025251, 0.05571029 ,,-1 , 10.13210592, 0.10676261,10.19249372, 0.11952272,10.05948865, 0.05563256 ,
-0.69897 , 5.11021196, 0.04832431,5.07475163, 0.01372082,5.21241122, 0.01524270 ,,-0.69897 , 5.12368575, 0.04758207,5.10423916, 0.03675802,5.19796327, 0.01961956 ,
-0.39794 , 2.60479374, 0.01339327,2.65016672, 0.00930188,2.74540173, 0.00766903 ,,-0.39794 , 2.63833723, 0.01451963,2.67074319, 0.01313898,2.74068214, 0.00773125 ,
-0.221849 , 1.83316838, 0.01035489,1.86934643, 0.00821075,1.94764295, 0.00293567 ,,-0.221849 , 1.83047653, 0.00526495,1.86587177, 0.00511981,1.95261647, 0.00290251 ,
-0.09691 , 1.47743195, 0.00687922,1.50452170, 0.00407466,1.58502474, 0.00276032 ,,-0.09691 , 1.48230928, 0.00739618,1.49820688, 0.00434292,1.58965523, 0.00209391 ,
0 , 1.27900365, 0.00486551,1.29818999, 0.00385187,1.38131761, 0.00169945 ,,0 , 1.26330194, 0.00382476,1.30038837, 0.00259512,1.38260815, 0.00213297 ,
0.0791812 , 1.15412573, 0.00312989,1.18223710, 0.00334849,1.26166977, 0.00151800 ,,0.0791812 , 1.16587895, 0.00490547,1.18116651, 0.00278168,1.26143393, 0.00184902 ,
0.146128 , 1.09292213, 0.00299088,1.10879423, 0.00213364,1.18653154, 0.00145739 ,,0.146128 , 1.08793174, 0.00324575,1.11458361, 0.00221045,1.18864277, 0.00095914 ,
0.20412 , 1.04625650, 0.00300474,1.06772976, 0.00228645,1.14456377, 0.00152457 ,,0.20412 , 1.05048848, 0.00294096,1.07052008, 0.00192589,1.14462372, 0.00143931 ,
0.255273 , 1.03155083, 0.00374553,1.05126190, 0.00224361,1.11923161, 0.00115717 ,,0.255273 , 1.04197638, 0.00528279,1.05087693, 0.00188063,1.11795055, 0.00147179 ,
0.30103 , 1.01927588, 0.00380841,1.04604378, 0.00292509,1.10745762, 0.00151696 ,,0.30103 , 1.03649311, 0.00466460,1.04373292, 0.00149315,1.10609905, 0.00134579 ,
0.60206 , 1.27730460, 0.00993867,1.27889317, 0.00699778,1.24594973, 0.00236171 ,,0.60206 , 1.27298269, 0.00981477,1.27711585, 0.00614816,1.24352167, 0.00238440 ,
1 , 2.56510075, 0.03125198,2.50350131, 0.01764241,1.69557638, 0.00376037 ,,1 , 2.58301818, 0.02276543,2.43953459, 0.01874525,1.68781716, 0.00481599 ,
1.30103 , 4.66044328, 0.09337468,3.88641713, 0.03739786,1.80954691, 0.00783962 ,,1.30103 , 4.51431370, 0.06413936,3.87701216, 0.03656203,1.80403682, 0.00736816 ,
1.60206 , 7.48174636, 0.11727348,4.89762074, 0.06147435,1.82285386, 0.00722236 ,,1.60206 , 7.65424735, 0.11893755,4.78808916, 0.04350896,1.81314402, 0.00769926 ,
1.69897 , 8.36010965, 0.19121885,4.85147791, 0.04292566,1.80646743, 0.00754650 ,,1.69897 , 8.17256112, 0.13777086,5.04272864, 0.06084299,1.82356632, 0.00575882 ,
2 , 10.01730938, 0.28075670,5.05924620, 0.07331491,1.81643256, 0.00527353 ,,2 , 9.45500934, 0.23137002,5.09644317, 0.08118081,1.81479419, 0.00761239 ,
2.30103 , 10.01854384, 0.19204088,4.99850835, 0.05529075,1.81745492, 0.00633228 ,,2.30103 , 10.11170883, 0.16540171,5.08927173, 0.06104304,1.82551405, 0.00686232 ,
2.47712 , 9.77804392, 0.23039411,5.13334386, 0.09160340,1.83013486, 0.00464285 ,,2.47712 , 10.06153224, 0.17688811,4.99619584, 0.04405578,1.82320900, 0.00608103 ,
3 , 10.45604946, 0.27449854,5.11778401, 0.07613737,1.82092646, 0.00517120 ,,3 , 9.80635489, 0.27049433,5.02017525, 0.06840029,1.81788564, 0.00411462 ,
4 , 9.80405697, 0.28476217,5.03137994, 0.05758867,1.80712933, 0.00588420 ,,4 , 10.05110552, 0.25918985,4.95508739, 0.04458919,1.81277892, 0.00465985 ,
