log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 10.10891787, 0.12795842,10.03256552, 0.08722492,10.24314058, 0.05769874 ,,-0.39794 , 796.27688521, 138.17431299,249.16474755, 16.76959182,29.14923734, 0.46983451 ,
-0.69897 , 5.07832237, 0.02797470,5.09313347, 0.02830109,5.21554190, 0.01552683 ,,-0.09691 , 434.26917638, 64.18672639,112.56273532, 5.39617837,14.57547269, 0.18606144 ,
-0.39794 , 2.63637806, 0.01452149,2.64395779, 0.00608352,2.76297315, 0.00509875 ,,0.0791812 , 275.21384069, 23.79270560,79.27392796, 3.84126933,9.81990119, 0.08576857 ,
-0.221849 , 1.83555998, 0.00558062,1.88200174, 0.01021823,1.97184083, 0.00371282 ,,0.20412 , 220.21774460, 14.62518284,61.11148600, 3.37268499,7.55277519, 0.06655494 ,
-0.09691 , 1.46610651, 0.00546491,1.50596212, 0.00438409,1.61294735, 0.00225353 ,,0.30103 , 177.53254787, 14.66888851,48.41778014, 1.13492540,6.21577746, 0.04646355 ,
0 , 1.27947575, 0.00543006,1.30102073, 0.00340656,1.41499394, 0.00196633 ,,0.60206 , 106.94858433, 7.28093324,25.33704301, 0.67646667,3.44696145, 0.01633169 ,
0.0791812 , 1.16408347, 0.00461082,1.19157300, 0.00314121,1.30070855, 0.00169558 ,,1 , 41.08419218, 1.28117612,10.86757298, 0.18739646,2.20495420, 0.00871563 ,
0.146128 , 1.08744895, 0.00306495,1.11792105, 0.00243466,1.23960334, 0.00176062 ,,1.30103 , 21.09312483, 0.78513106,6.63358392, 0.08849391,2.04158921, 0.00640476 ,
0.20412 , 1.05170675, 0.00282339,1.08260670, 0.00342174,1.19441977, 0.00113565 ,,1.60206 , 13.22069661, 0.35841979,5.35028214, 0.06043118,2.03441620, 0.00725549 ,
0.255273 , 1.02819041, 0.00316376,1.05554476, 0.00214866,1.17722040, 0.00164930 ,,1.69897 , 11.55298978, 0.23765650,5.12978221, 0.04983543,2.03907363, 0.00862006 ,
0.30103 , 1.02912395, 0.00312158,1.05183350, 0.00179807,1.17321022, 0.00158870 ,,2 , 10.36207194, 0.19513021,5.17099886, 0.06955993,2.01905944, 0.00512351 ,
0.60206 , 1.26793567, 0.00800718,1.29234151, 0.00361563,1.36347575, 0.00316429 ,,2.30103 , 9.86165538, 0.25729418,5.13001500, 0.05444789,2.03156385, 0.00479437 ,
1 , 2.58350757, 0.02083963,2.49510056, 0.01790424,1.88975477, 0.00444448 ,,2.47712 , 10.04588567, 0.27121632,5.16691995, 0.04290726,2.03000787, 0.00722186 ,
1.30103 , 4.75477008, 0.05957005,3.96244438, 0.02638152,2.03597259, 0.00640426 ,,3 , 10.06399396, 0.22803439,5.02998721, 0.02953700,2.03202679, 0.00538792 ,
1.60206 , 7.73737730, 0.18357011,4.89031947, 0.04260175,2.04101876, 0.00755425 ,,4 , 10.20935610, 0.24331370,5.05647152, 0.05586967,2.03241076, 0.00515476 ,
1.69897 , 8.45248473, 0.11524345,5.10289572, 0.05667815,2.03835902, 0.00739718 ,,
2 , 10.11871788, 0.25554521,5.04623073, 0.03169713,2.03010664, 0.00605252 ,,
2.30103 , 10.24895607, 0.29716216,5.21602027, 0.05333201,2.04634305, 0.00780953 ,,
2.47712 , 10.34935724, 0.23336278,5.17199290, 0.05507729,2.04920388, 0.00638934 ,,
3 , 10.39466391, 0.37807014,5.05720790, 0.06005750,2.03741057, 0.00534863 ,,
4 , 10.01733260, 0.19009056,5.08648389, 0.05008222,2.04020589, 0.00676579 ,,
