  0.1,     856,      7.48464564
  0.2,     438,      3.75326334
  0.4,     255,      1.92423300
  0.6,     236,      1.32061347
  0.8,     143,      1.00700481
  1.0,     148,      0.82974107
  1.2,     140,      0.71415466
  1.4,      98,      0.64136281
  1.6,     107,      0.58444749
  1.8,      83,      0.53953202
  2.0,      86,      0.51014255
  4.0,     144,      0.43932276
   10,     267,      0.65248611
   20,     484,      1.09410103
   40,     680,      1.71786419
   50,     915,      1.95762374
  100,    1046,      2.26664024
  200,     911,      2.28446166
  300,     976,      2.27333153
  100,    1046,      2.26664024
10000,     923,      2.24083353
