log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 2.52177934, 0.02639175,2.58899381, 0.01554165,2.65981904, 0.00963932 ,,-0.39794 , 567.16842398, 29.82925215,167.03014384, 5.42362236,18.54773146, 0.11931792 ,
-0.69897 , 1.29619541, 0.00982099,1.33218283, 0.00737047,1.43336278, 0.00363822 ,,-0.09691 , 313.94619159, 14.41231912,84.39385310, 1.84365717,9.39901716, 0.04643921 ,
-0.39794 , 0.71914994, 0.00371043,0.74246118, 0.00265188,0.84573817, 0.00165769 ,,0.0791812 , 204.66979310, 7.81585540,57.42955804, 0.77474600,6.35775551, 0.01920661 ,
-0.221849 , 0.54460381, 0.00227838,0.56725422, 0.00170634,0.67210262, 0.00087701 ,,0.20412 , 156.34284527, 5.73053840,40.84332364, 0.68978529,4.83054485, 0.01793912 ,
-0.09691 , 0.47348226, 0.00171933,0.49947993, 0.00103809,0.60134659, 0.00062700 ,,0.30103 , 142.60588533, 4.24288820,34.60463513, 0.42449636,3.95843655, 0.01095615 ,
0 , 0.44400960, 0.00134378,0.46877388, 0.00073472,0.57393731, 0.00047771 ,,0.60206 , 69.75101785, 1.71412156,17.00846221, 0.15009985,2.24081057, 0.00436438 ,
0.0791812 , 0.43683463, 0.00226203,0.46188034, 0.00078394,0.56566414, 0.00066316 ,,1 , 27.24964022, 0.49229708,7.47919475, 0.04740954,1.41541228, 0.00237633 ,
0.146128 , 0.43999264, 0.00160159,0.46543491, 0.00102786,0.56881431, 0.00063336 ,,1.30103 , 14.43728931, 0.18914243,4.46316806, 0.02403126,1.30395819, 0.00224715 ,
0.20412 , 0.45035219, 0.00150566,0.47610863, 0.00089034,0.57936436, 0.00056370 ,,1.60206 , 8.92028416, 0.12172827,3.57137313, 0.01428871,1.29973685, 0.00207388 ,
0.255273 , 0.46697575, 0.00170285,0.49248107, 0.00116457,0.59340643, 0.00063017 ,,1.69897 , 7.90907000, 0.07312271,3.50206931, 0.01982592,1.30209404, 0.00237340 ,
0.30103 , 0.49058033, 0.00147561,0.51232207, 0.00068110,0.61004035, 0.00062621 ,,2 , 6.87036103, 0.05336285,3.46242758, 0.02005279,1.29827507, 0.00167446 ,
0.60206 , 0.75993216, 0.00197189,0.77849463, 0.00182380,0.82450589, 0.00121294 ,,2.30103 , 6.75507112, 0.05788674,3.44086137, 0.01272466,1.29889763, 0.00220147 ,
1 , 1.70212497, 0.01252689,1.63283923, 0.00699669,1.20249395, 0.00221920 ,,2.47712 , 6.89282607, 0.06448286,3.41704947, 0.01677787,1.30192877, 0.00148424 ,
1.30103 , 3.16582479, 0.02275177,2.65203307, 0.01206314,1.29980465, 0.00228081 ,,3 , 6.93931339, 0.09392574,3.40531949, 0.01418223,1.29925071, 0.00219278 ,
1.60206 , 5.19983084, 0.04432060,3.29307797, 0.01359811,1.29949107, 0.00250877 ,,4 , 6.76458614, 0.06729125,3.40405075, 0.01939391,1.30490002, 0.00201014 ,
1.69897 , 5.70310666, 0.05722796,3.40141604, 0.02152553,1.30612444, 0.00243144 ,,
2 , 6.64822501, 0.09925359,3.44346703, 0.02008602,1.29856159, 0.00189531 ,,
2.30103 , 6.74551023, 0.04410554,3.44356321, 0.01739594,1.30025684, 0.00228028 ,,
2.47712 , 6.82176058, 0.05619915,3.43600666, 0.01700274,1.30465744, 0.00176484 ,,
3 , 6.69314880, 0.05404714,3.40543722, 0.01383686,1.30214759, 0.00261608 ,,
4 , 6.82635103, 0.07198399,3.42609569, 0.01506523,1.30282907, 0.00315706 ,,
