log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 7.56295610, 0.08144286,7.50555313, 0.04883434,7.51366957, 0.04405619 ,,-0.39794 , 230.20293090, 28.35105184,56.89182327, 2.64496001,7.09645809, 0.05535381 ,
-0.69897 , 3.79988983, 0.02336194,3.77596487, 0.01971649,3.83681260, 0.01527242 ,,-0.09691 , 98.38894465, 5.78889210,29.57709839, 0.89481215,3.67450564, 0.01980922 ,
-0.39794 , 1.91402170, 0.00916550,1.95473730, 0.00791598,2.01397112, 0.00302891 ,,0.0791812 , 68.16934035, 3.74361354,18.65229551, 0.38236912,2.50736030, 0.01047901 ,
-0.221849 , 1.30476354, 0.00602457,1.32566750, 0.00454904,1.42113079, 0.00222825 ,,0.20412 , 62.92504575, 3.90545002,14.62443217, 0.23134372,1.97567730, 0.00835985 ,
-0.09691 , 1.00961055, 0.00329498,1.02919139, 0.00238675,1.12686006, 0.00229143 ,,0.30103 , 44.01025842, 2.72405294,11.74787962, 0.34697636,1.62108064, 0.00421559 ,
0 , 0.82950050, 0.00272332,0.85866913, 0.00151160,0.95602330, 0.00090035 ,,0.60206 , 22.26325547, 0.88585762,5.90904479, 0.10554938,0.99380884, 0.00236778 ,
0.0791812 , 0.71701085, 0.00227427,0.74274813, 0.00160565,0.85059432, 0.00100426 ,,1 , 9.14570987, 0.21794684,2.55210919, 0.02946060,0.71525281, 0.00123918 ,
0.146128 , 0.63849002, 0.00171306,0.66303265, 0.00150236,0.77209159, 0.00063431 ,,1.30103 , 4.90913582, 0.09603355,1.58549594, 0.01485306,0.68322857, 0.00113807 ,
0.20412 , 0.58606324, 0.00147490,0.60750165, 0.00173884,0.72039129, 0.00071811 ,,1.60206 , 3.06404156, 0.03385907,1.27086498, 0.00807785,0.68072358, 0.00100276 ,
0.255273 , 0.54232684, 0.00100863,0.56794577, 0.00068185,0.68088777, 0.00056853 ,,1.69897 , 2.65679998, 0.04136458,1.23811130, 0.00683086,0.68209215, 0.00085588 ,
0.30103 , 0.51516751, 0.00124899,0.54007420, 0.00108010,0.65373228, 0.00066081 ,,2 , 2.29870228, 0.02920820,1.22325127, 0.00594552,0.68101730, 0.00076928 ,
0.60206 , 0.43882203, 0.00081112,0.46399828, 0.00064203,0.58299254, 0.00054327 ,,2.30103 , 2.31084187, 0.03321731,1.22662003, 0.00691581,0.68292626, 0.00082203 ,
1 , 0.65554732, 0.00360229,0.65694664, 0.00259715,0.65276410, 0.00095643 ,,2.47712 , 2.27618153, 0.03230775,1.22934825, 0.00852587,0.68089879, 0.00104557 ,
1.30103 , 1.10402874, 0.00712010,0.97976553, 0.00503552,0.68130893, 0.00090883 ,,3 , 2.27098996, 0.02289808,1.22019397, 0.00698288,0.68337911, 0.00090878 ,
1.60206 , 1.75550305, 0.01598408,1.19872004, 0.00681593,0.68315051, 0.00083427 ,,4 , 2.27707440, 0.02164952,1.23078454, 0.00488124,0.68202317, 0.00116370 ,
1.69897 , 1.99135554, 0.02561500,1.21157990, 0.00722322,0.68209451, 0.00107524 ,,
2 , 2.27037321, 0.02787532,1.23706616, 0.00686516,0.68129639, 0.00089218 ,,
2.30103 , 2.34616420, 0.02939662,1.25218044, 0.01061727,0.68315109, 0.00120022 ,,
2.47712 , 2.27297554, 0.01920556,1.23045967, 0.00735534,0.68465595, 0.00119048 ,,
3 , 2.31730327, 0.03088968,1.23815685, 0.00802682,0.68188253, 0.00075465 ,,
4 , 2.32238547, 0.02816157,1.21886545, 0.00546174,0.68052369, 0.00094714 ,,
