log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 2.53441348, 0.02341269,2.54415645, 0.01686597,2.56041479, 0.01029957 ,,-0.39794 , 653.07062496, 58.40837662,169.27626520, 5.28976164,18.71328458, 0.09710800 ,
-0.69897 , 1.31170660, 0.00815648,1.31651098, 0.00621114,1.38243426, 0.00481882 ,,-0.09691 , 302.41743530, 10.11055851,87.11270010, 2.24926574,9.60354726, 0.05296679 ,
-0.39794 , 0.71577829, 0.00535775,0.74109727, 0.00235121,0.81582503, 0.00112991 ,,0.0791812 , 215.77555360, 10.11890659,55.01530804, 0.93037096,6.44853257, 0.02384711 ,
-0.221849 , 0.54137211, 0.00312852,0.56409833, 0.00143651,0.65124177, 0.00092865 ,,0.20412 , 194.40351470, 10.95386485,42.59074595, 0.66853666,4.96299728, 0.01528979 ,
-0.09691 , 0.47637685, 0.00289572,0.49566511, 0.00112097,0.58325725, 0.00087460 ,,0.30103 , 132.57112401, 7.37693062,34.60732500, 0.89700420,4.01393225, 0.00748632 ,
0 , 0.44155592, 0.00124352,0.46822017, 0.00101019,0.55666354, 0.00036296 ,,0.60206 , 66.91567537, 1.87619816,17.42762557, 0.23179508,2.26477717, 0.00445688 ,
0.0791812 , 0.43378815, 0.00176927,0.45928950, 0.00105727,0.54978486, 0.00045069 ,,1 , 27.52384786, 0.62878958,7.44019245, 0.08337494,1.42362962, 0.00297021 ,
0.146128 , 0.43107684, 0.00246245,0.46420869, 0.00094922,0.55301940, 0.00057727 ,,1.30103 , 14.63489846, 0.24141293,4.53504845, 0.03021844,1.31211873, 0.00185734 ,
0.20412 , 0.45362621, 0.00239575,0.47289642, 0.00121301,0.56456440, 0.00051040 ,,1.60206 , 9.04226504, 0.08326876,3.57556306, 0.01715715,1.30564481, 0.00172041 ,
0.255273 , 0.46651856, 0.00139281,0.49070624, 0.00116416,0.57947891, 0.00056303 ,,1.69897 , 7.91683615, 0.10371194,3.47191784, 0.01257581,1.30860648, 0.00194164 ,
0.30103 , 0.48862676, 0.00124849,0.51181158, 0.00082385,0.59665049, 0.00057626 ,,2 , 6.82005508, 0.06139553,3.43508799, 0.01491649,1.30361247, 0.00144041 ,
0.60206 , 0.76027012, 0.00430718,0.77837945, 0.00160119,0.81666365, 0.00102373 ,,2.30103 , 6.84713019, 0.07601925,3.43702759, 0.01743580,1.30985512, 0.00152506 ,
1 , 1.70546637, 0.00842684,1.63545034, 0.00593755,1.20328015, 0.00182709 ,,2.47712 , 6.74172106, 0.06462320,3.45220527, 0.02100963,1.30730971, 0.00222616 ,
1.30103 , 3.15290083, 0.02389000,2.67858921, 0.01057938,1.30491557, 0.00190269 ,,3 , 6.73667410, 0.06777938,3.42885518, 0.01569098,1.30773927, 0.00210635 ,
1.60206 , 5.14359031, 0.04029508,3.33972681, 0.01911214,1.31198523, 0.00183965 ,,4 , 6.71938468, 0.06909856,3.43817767, 0.01204912,1.30980728, 0.00235251 ,
1.69897 , 5.84174554, 0.08617818,3.39252018, 0.01890190,1.31090014, 0.00257240 ,,
2 , 6.70188282, 0.06800995,3.47001280, 0.01611712,1.30750765, 0.00209698 ,,
2.30103 , 6.89799453, 0.07536837,3.50075524, 0.02397878,1.31048826, 0.00229108 ,,
2.47712 , 6.77876127, 0.07212433,3.42895253, 0.01630187,1.31278919, 0.00329052 ,,
3 , 6.75638814, 0.06535540,3.47941836, 0.02415509,1.31603752, 0.00234919 ,,
4 , 6.86107900, 0.06651551,3.42314582, 0.01919823,1.30738887, 0.00231450 ,,
