log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 7.53578504, 0.11279614,7.48703187, 0.04881824,7.60252763, 0.03160970 ,
-0.69897 , 3.72887535, 0.15694507,3.80740967, 0.01985672,3.87258994, 0.00844295 ,
-0.39794 , 1.87528942, 0.05696947,1.94525346, 0.00854064,2.03633238, 0.00359015 ,
-0.221849 , 1.14867255, 0.07237076,1.33648394, 0.00412351,1.42793074, 0.00190568 ,
-0.09691 , 1.03382086, 0.04667653,1.02974409, 0.00282764,1.12973442, 0.00147160 ,
0 , 0.81512451, 0.00927682,0.85844285, 0.00140550,0.95557456, 0.00108414 ,
0.0791812 , 0.67038287, 0.03434224,0.74437058, 0.00171488,0.84352136, 0.00068335 ,
0.146128 , 0.60597704, 0.02200957,0.66481407, 0.00107358,0.77002511, 0.00086222 ,
0.20412 , 0.58478536, 0.00701873,0.61011610, 0.00085340,0.71767279, 0.00064857 ,
0.255273 , 0.51345964, 0.02119816,0.56943254, 0.00094087,0.67874606, 0.00061828 ,
0.30103 , 0.53248686, 0.04004322,0.53990264, 0.00072777,0.65134518, 0.00051735 ,
0.60206 , 0.44522031, 0.00937743,0.46511164, 0.00056109,0.59321229, 0.00054772 ,
1 , 0.71174440, 0.02990858,0.69867919, 0.00213849,0.85597920, 0.00120024 ,
1.30103 , 0.92113980, 0.05638774,1.22794309, 0.00727155,1.42671402, 0.00329613 ,
1.60206 , 2.29835401, 0.03013213,2.32419696, 0.01829106,2.62828312, 0.01193779 ,
1.69897 , 2.95636858, 0.19055711,2.92456713, 0.03505779,3.24204187, 0.02144912 ,
2 , 5.90999677, 0.54962597,5.78369267, 0.07553087,6.28296746, 0.06574496 ,
2.30103 , 11.10718490, 0.31998716,11.47119760, 0.24530499,12.61555902, 0.13162402 ,
2.47712 , 16.56995042, 0.46872757,16.49329644, 0.35147292,18.63865535, 0.14807368 ,
3 , 52.44339529, 2.20772569,53.82430107, 2.54700323,61.64114528, 1.09969213 ,
4 , 417.87417916, 86.44387886,555.11206250, 51.32355466,532.81659668, 34.71294304 ,
