log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 2.49500104, 0.02711529,2.06191325, 0.00681309,2.12635316, 0.00344857 ,
-0.69897 , 1.28380618, 0.01144633,1.08140177, 0.00230952,1.17456353, 0.00145941 ,
-0.39794 , 0.71933267, 0.00341329,0.63270362, 0.00082493,0.68528417, 0.00060240 ,
-0.221849 , 0.54388443, 0.00200731,0.43495215, 0.00026231,0.60530209, 0.00040295 ,
-0.09691 , 0.47368084, 0.00215439,0.43784637, 0.00021886,0.56779987, 0.00031586 ,
0 , 0.44472698, 0.00141169,0.44519117, 0.00026311,0.55452687, 0.00029097 ,
0.0791812 , 0.43559051, 0.00193542,0.45613673, 0.00027100,0.55355382, 0.00033735 ,
0.146128 , 0.43861387, 0.00169067,0.46931910, 0.00025425,0.55990486, 0.00031052 ,
0.20412 , 0.45248985, 0.00143448,0.48881373, 0.00024535,0.57299797, 0.00041022 ,
0.255273 , 0.46713327, 0.00116854,0.50402444, 0.00033274,0.58938439, 0.00030367 ,
0.30103 , 0.49042858, 0.00300840,0.52040667, 0.00049645,0.60727641, 0.00035642 ,
0.60206 , 0.76834020, 0.00382044,0.74052529, 0.00065674,0.83264573, 0.00066088 ,
1 , 1.71934078, 0.00862772,1.62788426, 0.00279900,1.70607847, 0.00121396 ,
1.30103 , 3.40816508, 0.02146466,3.12593793, 0.00787234,3.21211586, 0.00490165 ,
1.60206 , 6.85684943, 0.11068510,6.24847593, 0.02004809,6.26731996, 0.01256010 ,
1.69897 , 8.34069043, 0.10419978,7.77685599, 0.03126229,7.84925158, 0.01322589 ,
2 , 16.64385287, 0.26173010,15.34920900, 0.07612291,15.47182802, 0.05438202 ,
2.30103 , 33.29689248, 0.70380616,31.40344123, 0.25353694,31.07938413, 0.14985030 ,
2.47712 , 48.60908068, 0.82050208,45.60018405, 0.40997783,46.72058192, 0.27241487 ,
3 , 154.63055163, 4.51901673,146.49850075, 2.53764976,151.35987987, 1.20818092 ,
4 , 1442.49485779, 102.81865042,1424.14265764, 69.58393156,1446.42281612, 41.68002497 ,
