log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 7.36865821, 0.07420202,7.54434550, 0.05807320,7.51301193, 0.02932876 ,,-0.39794 , 203.69162901, 20.66338936,53.44609919, 1.77976636,6.46046539, 0.05567121 ,
-0.69897 , 3.81881802, 0.03216086,3.79550994, 0.01203013,3.83425306, 0.01555957 ,,-0.09691 , 99.68924879, 6.04508034,28.21454234, 0.92027514,3.33609745, 0.01457918 ,
-0.39794 , 1.91324508, 0.01062403,1.94337170, 0.00944205,2.02325258, 0.00638529 ,,0.0791812 , 70.56279106, 4.67364744,19.31913081, 0.59091263,2.28943541, 0.00996824 ,
-0.221849 , 1.30175723, 0.00392586,1.33431622, 0.00459749,1.41609295, 0.00284900 ,,0.20412 , 51.72312814, 3.53113235,13.93208041, 0.17267610,1.79863823, 0.00567321 ,
-0.09691 , 1.01445431, 0.00431307,1.02778954, 0.00240664,1.12045908, 0.00183177 ,,0.30103 , 41.34498949, 1.84622628,11.11271409, 0.25741897,1.47842632, 0.00491192 ,
0 , 0.83303037, 0.00260663,0.85575209, 0.00266966,0.94965837, 0.00138191 ,,0.60206 , 20.84440111, 0.61574479,5.74512152, 0.09188205,0.91402792, 0.00192158 ,
0.0791812 , 0.72468029, 0.00303575,0.74170717, 0.00195262,0.84002295, 0.00086885 ,,1 , 8.76095633, 0.28582453,2.49838254, 0.01805163,0.67032070, 0.00092075 ,
0.146128 , 0.64124259, 0.00185253,0.66418586, 0.00166309,0.76253009, 0.00056985 ,,1.30103 , 5.10323320, 0.13680716,1.55273678, 0.01342024,0.64230555, 0.00089839 ,
0.20412 , 0.58439280, 0.00188352,0.60946864, 0.00121059,0.71033681, 0.00064796 ,,1.60206 , 3.04894414, 0.04289600,1.25932572, 0.01097549,0.64037371, 0.00088912 ,
0.255273 , 0.54132712, 0.00118882,0.56667124, 0.00094777,0.67071202, 0.00059482 ,,1.69897 , 2.73052496, 0.03948555,1.21353256, 0.00701812,0.64110590, 0.00107137 ,
0.30103 , 0.51139932, 0.00151709,0.53729174, 0.00084726,0.64154694, 0.00058379 ,,2 , 2.30047431, 0.03570639,1.20516430, 0.00667329,0.64185344, 0.00096645 ,
0.60206 , 0.43781518, 0.00134556,0.46379829, 0.00093876,0.56141355, 0.00057258 ,,2.30103 , 2.29543678, 0.03523098,1.20773021, 0.00727088,0.63943893, 0.00068976 ,
1 , 0.65076034, 0.00379125,0.65014464, 0.00267785,0.61674618, 0.00070018 ,,2.47712 , 2.23629605, 0.02308722,1.20731670, 0.00640546,0.64084151, 0.00085984 ,
1.30103 , 1.11573964, 0.00776308,0.95020822, 0.00589541,0.63773325, 0.00095240 ,,3 , 2.30488131, 0.03205871,1.20507528, 0.00630477,0.63978265, 0.00064100 ,
1.60206 , 1.78584981, 0.01744488,1.16799978, 0.00540732,0.64054066, 0.00077073 ,,4 , 2.29816613, 0.02365121,1.21847965, 0.00709363,0.64024991, 0.00107437 ,
1.69897 , 1.96863091, 0.01524529,1.18831309, 0.00688516,0.64011808, 0.00072919 ,,
2 , 2.24719162, 0.02290718,1.22113830, 0.00831736,0.63979662, 0.00087162 ,,
2.30103 , 2.28695369, 0.02089900,1.22560754, 0.00986762,0.64085687, 0.00096509 ,,
2.47712 , 2.27581560, 0.02068726,1.21005935, 0.00723943,0.64146032, 0.00095510 ,,
3 , 2.27919289, 0.03417357,1.20150048, 0.00728597,0.64042942, 0.00108003 ,,
4 , 2.26033404, 0.03003376,1.21592298, 0.00800434,0.64116682, 0.00102309 ,,
