log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 2.48025044, 0.03051399,2.55748233, 0.01912307,2.57814475, 0.00959869 ,,-0.39794 , 606.50668863, 58.40332151,164.55712571, 4.15165163,17.05165506, 0.13640231 ,
-0.69897 , 1.31339516, 0.00905380,1.32715084, 0.00425045,1.38399935, 0.00485062 ,,-0.09691 , 297.76214625, 16.29917287,83.77735751, 2.18893232,8.66697799, 0.02802243 ,
-0.39794 , 0.71228632, 0.00380789,0.73544764, 0.00182541,0.81691663, 0.00210820 ,,0.0791812 , 222.07328119, 11.04789982,56.67345537, 1.35212812,5.84118467, 0.02135867 ,
-0.221849 , 0.54087772, 0.00166395,0.56690713, 0.00163916,0.64435406, 0.00089576 ,,0.20412 , 161.24877163, 11.03535602,41.99854871, 0.59748000,4.52364567, 0.01184142 ,
-0.09691 , 0.47335690, 0.00348159,0.49220650, 0.00118488,0.57252988, 0.00065131 ,,0.30103 , 125.90405444, 4.89909732,33.56369151, 0.50599806,3.64628233, 0.01092783 ,
0 , 0.44291015, 0.00164920,0.46561584, 0.00110418,0.54314006, 0.00054691 ,,0.60206 , 63.83265791, 1.99415011,16.84178524, 0.21355978,2.05640482, 0.00481436 ,
0.0791812 , 0.43941671, 0.00148001,0.45719147, 0.00094507,0.53237880, 0.00045953 ,,1 , 26.63379990, 0.64271790,7.33209123, 0.07078079,1.30635098, 0.00225216 ,
0.146128 , 0.43883056, 0.00150250,0.46182299, 0.00090901,0.53316500, 0.00046301 ,,1.30103 , 14.98583174, 0.31474265,4.45469434, 0.03115100,1.20772035, 0.00154225 ,
0.20412 , 0.44322148, 0.00393583,0.47335789, 0.00078257,0.54144967, 0.00046378 ,,1.60206 , 8.96599660, 0.09675480,3.53317487, 0.02374339,1.20060695, 0.00164297 ,
0.255273 , 0.46441288, 0.00117856,0.48835500, 0.00057261,0.55311417, 0.00051260 ,,1.69897 , 8.06565795, 0.09643070,3.40098972, 0.01599330,1.20284521, 0.00178562 ,
0.30103 , 0.48650643, 0.00127151,0.50744916, 0.00080969,0.56859430, 0.00045961 ,,2 , 6.76422739, 0.08055197,3.40831538, 0.01697916,1.20513092, 0.00188076 ,
0.60206 , 0.75386783, 0.00328699,0.77334416, 0.00165337,0.76239466, 0.00095351 ,,2.30103 , 6.80162357, 0.07913232,3.39087510, 0.01919378,1.19879767, 0.00121061 ,
1 , 1.68923712, 0.01131728,1.62591172, 0.00806376,1.10929817, 0.00121077 ,,2.47712 , 6.64906482, 0.05307558,3.40300374, 0.01827663,1.20219844, 0.00150981 ,
1.30103 , 3.17806574, 0.01795148,2.62107958, 0.01435252,1.19371026, 0.00197271 ,,3 , 6.76645708, 0.07001037,3.38798898, 0.01545653,1.20189690, 0.00161881 ,
1.60206 , 5.22885131, 0.04584864,3.26787341, 0.01338324,1.20526545, 0.00173256 ,,4 , 6.78142492, 0.07096798,3.41210567, 0.01764044,1.20151391, 0.00184929 ,
1.69897 , 5.76302996, 0.05058478,3.35422000, 0.01806272,1.20340643, 0.00185996 ,,
2 , 6.64563991, 0.05468962,3.42976246, 0.02531914,1.20249300, 0.00182619 ,,
2.30103 , 6.77441191, 0.07394916,3.44053627, 0.02202399,1.20145903, 0.00215439 ,,
2.47712 , 6.76863850, 0.05455892,3.41691109, 0.01657570,1.20716509, 0.00260133 ,,
3 , 6.76004640, 0.08685905,3.38208837, 0.01844157,1.20159535, 0.00220876 ,,
4 , 6.71828386, 0.06271378,3.40603767, 0.01882255,1.20181517, 0.00190104 ,,
