log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 7.43277277, 0.07184670,7.57736057, 0.06425116,7.43719805, 0.03125463 ,,-1 , 7.58159244, 0.08258384,7.49020988, 0.06066763,7.52976811, 0.03369612 ,
-0.69897 , 3.86158850, 0.02648822,3.83202087, 0.02834613,3.85624806, 0.01000292 ,,-0.69897 , 3.79456947, 0.03262601,3.81242633, 0.02095778,3.84056884, 0.00998219 ,
-0.39794 , 1.92251478, 0.01107348,1.94231845, 0.00520341,2.00578847, 0.00297805 ,,-0.39794 , 1.92762696, 0.01479472,1.93669966, 0.00747133,2.01069007, 0.00421358 ,
-0.221849 , 1.31761627, 0.00653370,1.32753133, 0.00352414,1.40752408, 0.00224131 ,,-0.221849 , 1.30824645, 0.00515412,1.34001549, 0.00574931,1.40927082, 0.00244450 ,
-0.09691 , 1.00013550, 0.00276049,1.02411202, 0.00252008,1.10876828, 0.00138628 ,,-0.09691 , 1.00162398, 0.00383340,1.03118363, 0.00189213,1.10766040, 0.00206139 ,
0 , 0.82292911, 0.00261477,0.85232694, 0.00134420,0.93470678, 0.00129991 ,,0 , 0.82568416, 0.00164675,0.85484686, 0.00227413,0.93273695, 0.00123072 ,
0.0791812 , 0.71840871, 0.00239396,0.74114322, 0.00100582,0.82125972, 0.00091946 ,,0.0791812 , 0.71781351, 0.00235192,0.74213620, 0.00180304,0.82133349, 0.00083068 ,
0.146128 , 0.63754119, 0.00154931,0.66141148, 0.00129952,0.74376104, 0.00059736 ,,0.146128 , 0.63965694, 0.00134259,0.66015398, 0.00114317,0.74428829, 0.00062415 ,
0.20412 , 0.57953952, 0.00169132,0.60748804, 0.00083016,0.68718181, 0.00065490 ,,0.20412 , 0.58269706, 0.00179440,0.60508323, 0.00115476,0.68753774, 0.00063215 ,
0.255273 , 0.54503576, 0.00136899,0.56578751, 0.00112073,0.64544361, 0.00060946 ,,0.255273 , 0.54335765, 0.00147855,0.56751665, 0.00122958,0.64641965, 0.00058789 ,
0.30103 , 0.51046504, 0.00107278,0.53367931, 0.00097257,0.61403926, 0.00061360 ,,0.30103 , 0.51118291, 0.00115527,0.53289828, 0.00090889,0.61386860, 0.00056428 ,
0.60206 , 0.43432689, 0.00104390,0.45580500, 0.00091299,0.51062815, 0.00035649 ,,0.60206 , 0.43614425, 0.00109188,0.45611429, 0.00111340,0.51011738, 0.00045691 ,
1 , 0.64877314, 0.00295070,0.63881857, 0.00331248,0.53096743, 0.00065916 ,,1 , 0.64920158, 0.00300114,0.63535132, 0.00228284,0.53152069, 0.00082621 ,
1.30103 , 1.10046222, 0.00906968,0.92855932, 0.00580729,0.54544625, 0.00070329 ,,1.30103 , 1.09484960, 0.00818082,0.93317367, 0.00469826,0.54571474, 0.00069946 ,
1.60206 , 1.72206097, 0.01970270,1.13230236, 0.00605756,0.54728126, 0.00043093 ,,1.60206 , 1.77152535, 0.01979621,1.13979335, 0.00472335,0.54791599, 0.00087369 ,
1.69897 , 1.94450997, 0.02335552,1.16901282, 0.00624639,0.54622659, 0.00071787 ,,1.69897 , 1.94432894, 0.02399517,1.16144761, 0.00808734,0.54608900, 0.00067057 ,
2 , 2.20689814, 0.02268368,1.16983923, 0.00593393,0.54549399, 0.00050085 ,,2 , 2.23978833, 0.02217989,1.18809229, 0.00526986,0.54611094, 0.00072848 ,
2.30103 , 2.33211890, 0.03198317,1.17760849, 0.00843353,0.54621087, 0.00078491 ,,2.30103 , 2.25731834, 0.03063882,1.17270592, 0.00717182,0.54625752, 0.00093946 ,
2.47712 , 2.26263550, 0.02853794,1.19003634, 0.00816362,0.54533595, 0.00073114 ,,2.47712 , 2.24475031, 0.02753305,1.18392117, 0.00714190,0.54591985, 0.00105222 ,
3 , 2.26725733, 0.03682727,1.18857933, 0.00606092,0.54652862, 0.00063001 ,,3 , 2.29175677, 0.02245785,1.19630331, 0.00544782,0.54817997, 0.00089110 ,
4 , 2.30592048, 0.03420984,1.17940802, 0.00558167,0.54645023, 0.00066504 ,,4 , 2.32998526, 0.02687627,1.16382880, 0.00617259,0.54688982, 0.00060037 ,
