log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 2.43307052, 0.03658799,2.56823479, 0.02170788,2.55355425, 0.01044060 ,,-1 , 2.56526690, 0.02983894,2.53864767, 0.01960530,2.58599582, 0.01138591 ,
-0.69897 , 1.33793098, 0.01035063,1.33460879, 0.00815538,1.39258569, 0.00303823 ,,-0.69897 , 1.31290957, 0.01095489,1.32995634, 0.00610883,1.38789282, 0.00295845 ,
-0.39794 , 0.71592811, 0.00498792,0.73659705, 0.00157452,0.81345920, 0.00097208 ,,-0.39794 , 0.71781696, 0.00465955,0.73723432, 0.00293933,0.81456916, 0.00137182 ,
-0.221849 , 0.54672355, 0.00265060,0.56221390, 0.00099902,0.64371875, 0.00087724 ,,-0.221849 , 0.54132832, 0.00271830,0.56672029, 0.00191901,0.64452701, 0.00069511 ,
-0.09691 , 0.47140979, 0.00254316,0.49206171, 0.00102892,0.57256954, 0.00055103 ,,-0.09691 , 0.46994139, 0.00177609,0.49525287, 0.00116537,0.57276446, 0.00082141 ,
0 , 0.44204728, 0.00228802,0.46613349, 0.00076807,0.54238514, 0.00058397 ,,0 , 0.43953377, 0.00128732,0.46641425, 0.00095740,0.54192703, 0.00069742 ,
0.0791812 , 0.43506254, 0.00150905,0.45803595, 0.00083827,0.53248468, 0.00045614 ,,0.0791812 , 0.43557325, 0.00142240,0.45919905, 0.00084955,0.53216126, 0.00052304 ,
0.146128 , 0.43900059, 0.00132832,0.46074389, 0.00069391,0.53404895, 0.00042059 ,,0.146128 , 0.43974551, 0.00113535,0.46005159, 0.00075584,0.53431760, 0.00051677 ,
0.20412 , 0.44898603, 0.00142686,0.47245900, 0.00078150,0.54059552, 0.00050820 ,,0.20412 , 0.44993562, 0.00210963,0.47141311, 0.00085677,0.54122540, 0.00055425 ,
0.255273 , 0.46989173, 0.00180208,0.48826631, 0.00112224,0.55361099, 0.00044728 ,,0.255273 , 0.46909780, 0.00122245,0.49077052, 0.00091058,0.55406287, 0.00042792 ,
0.30103 , 0.48753615, 0.00259781,0.50654405, 0.00117208,0.56936814, 0.00058399 ,,0.30103 , 0.48438853, 0.00189966,0.50651392, 0.00096323,0.56852310, 0.00046155 ,
0.60206 , 0.75761255, 0.00240093,0.77555428, 0.00159377,0.76414967, 0.00069306 ,,0.60206 , 0.75949374, 0.00202184,0.76876079, 0.00276282,0.76264751, 0.00072584 ,
1 , 1.70651186, 0.00885751,1.63333079, 0.00763729,1.11189685, 0.00140927 ,,1 , 1.66760576, 0.01447177,1.62292671, 0.00406644,1.10939705, 0.00206169 ,
1.30103 , 3.15764655, 0.01770337,2.60813340, 0.01410218,1.19875060, 0.00213453 ,,1.30103 , 3.13132870, 0.02259538,2.61796462, 0.01116225,1.19791292, 0.00186362 ,
1.60206 , 5.07767806, 0.04069953,3.30064992, 0.02163935,1.20523809, 0.00144640 ,,1.60206 , 5.20609298, 0.04243118,3.27983079, 0.01304680,1.20387954, 0.00234097 ,
1.69897 , 5.76385202, 0.05764687,3.37596472, 0.01558138,1.20111491, 0.00173827 ,,1.69897 , 5.79785669, 0.07112077,3.36341875, 0.01787026,1.20340348, 0.00193783 ,
2 , 6.57147942, 0.05020291,3.37641551, 0.01567087,1.20115204, 0.00174976 ,,2 , 6.62698857, 0.05456121,3.41271083, 0.01541630,1.20260787, 0.00182069 ,
2.30103 , 6.87361459, 0.07063262,3.40204120, 0.02110042,1.20166850, 0.00206835 ,,2.30103 , 6.73715898, 0.07138006,3.39460320, 0.01814744,1.20051810, 0.00229485 ,
2.47712 , 6.71485929, 0.05604839,3.44396556, 0.01811905,1.19992744, 0.00210010 ,,2.47712 , 6.72538848, 0.06022862,3.43070697, 0.01662719,1.20187794, 0.00179557 ,
3 , 6.77568292, 0.10189342,3.42250976, 0.01862274,1.20518414, 0.00207927 ,,3 , 6.80972477, 0.06472270,3.44493225, 0.01422072,1.20593160, 0.00205917 ,
4 , 6.87815314, 0.08302090,3.40400361, 0.01570317,1.20369264, 0.00137317 ,,4 , 6.88418413, 0.07886823,3.37867970, 0.01426902,1.20456900, 0.00170268 ,
