log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 7.53040699, 0.08317282,7.51434016, 0.05903270,7.72065147, 0.03207551 ,,-1 , 7.46986796, 0.08556784,7.38431961, 0.03013015,7.63934937, 0.02485536 ,
-0.69897 , 3.82759548, 0.02597863,3.81955311, 0.01835738,3.91766998, 0.01098712 ,,-0.69897 , 3.79202355, 0.02883729,3.80215214, 0.01857963,3.94932405, 0.01410136 ,
-0.39794 , 1.92463941, 0.01112176,1.94344662, 0.00482812,2.06430178, 0.00442054 ,,-0.39794 , 1.92577369, 0.00947572,1.94946250, 0.00739415,2.05677757, 0.00515636 ,
-0.221849 , 1.30666019, 0.00675090,1.33331487, 0.00435560,1.43951322, 0.00302498 ,,-0.221849 , 1.31520278, 0.00501629,1.34085594, 0.00377689,1.44152398, 0.00256907 ,
-0.09691 , 1.00452289, 0.00332616,1.03137182, 0.00256296,1.13747576, 0.00197620 ,,-0.09691 , 1.00305046, 0.00331534,1.03595091, 0.00291375,1.13969988, 0.00123467 ,
0 , 0.82628414, 0.00199319,0.85465530, 0.00156578,0.95922767, 0.00127192 ,,0 , 0.83312620, 0.00286770,0.85344118, 0.00157096,0.95978859, 0.00126918 ,
0.0791812 , 0.71569385, 0.00187761,0.74759690, 0.00187624,0.84482671, 0.00087226 ,,0.0791812 , 0.71676320, 0.00156869,0.74364529, 0.00225613,0.84513932, 0.00097431 ,
0.146128 , 0.64005548, 0.00169460,0.66631153, 0.00149049,0.76598620, 0.00094018 ,,0.146128 , 0.64029634, 0.00225747,0.66254396, 0.00181755,0.76480955, 0.00081222 ,
0.20412 , 0.58771893, 0.00277904,0.60796791, 0.00102440,0.70822032, 0.00075074 ,,0.20412 , 0.58439757, 0.00148223,0.60946855, 0.00110649,0.70998680, 0.00065756 ,
0.255273 , 0.54210696, 0.00112685,0.56931275, 0.00087956,0.66817622, 0.00060490 ,,0.255273 , 0.54141512, 0.00105899,0.56810808, 0.00097048,0.66877234, 0.00052005 ,
0.30103 , 0.51030740, 0.00110048,0.53739110, 0.00087451,0.63742518, 0.00052205 ,,0.30103 , 0.51105026, 0.00128371,0.53942654, 0.00090118,0.63701931, 0.00066696 ,
0.60206 , 0.43687086, 0.00085036,0.46029943, 0.00060165,0.54736421, 0.00035628 ,,0.60206 , 0.43626724, 0.00120817,0.46181411, 0.00079173,0.54669100, 0.00052930 ,
1 , 0.65657101, 0.00410522,0.64691733, 0.00215443,0.59115054, 0.00083207 ,,1 , 0.65643973, 0.00356110,0.64813521, 0.00241182,0.58807276, 0.00071153 ,
1.30103 , 1.09297670, 0.00820832,0.95564722, 0.00498529,0.61052797, 0.00071354 ,,1.30103 , 1.10708835, 0.00736321,0.95558452, 0.00679930,0.61141836, 0.00102311 ,
1.60206 , 1.74969292, 0.01049516,1.17520002, 0.00513008,0.61266567, 0.00096325 ,,1.60206 , 1.74218075, 0.01613308,1.16740450, 0.00732458,0.61176181, 0.00096870 ,
1.69897 , 1.92345020, 0.02177158,1.19805709, 0.00601605,0.61356199, 0.00081494 ,,1.69897 , 1.97325402, 0.02185538,1.19331909, 0.00733956,0.61243263, 0.00094428 ,
2 , 2.24698399, 0.01787454,1.20450673, 0.00871039,0.61252497, 0.00063831 ,,2 , 2.24965290, 0.03103646,1.20555611, 0.00828993,0.61395794, 0.00101425 ,
2.30103 , 2.25240482, 0.02253544,1.20642859, 0.00826814,0.61345455, 0.00073138 ,,2.30103 , 2.29206169, 0.02130583,1.20514263, 0.00664466,0.61290390, 0.00090039 ,
2.47712 , 2.28809990, 0.02631099,1.21282097, 0.00640997,0.61364516, 0.00076222 ,,2.47712 , 2.27334297, 0.03742034,1.20059665, 0.00718432,0.61256053, 0.00071840 ,
3 , 2.33825487, 0.03528584,1.19812958, 0.00717287,0.61230283, 0.00099585 ,,3 , 2.26124916, 0.01809673,1.19930610, 0.00689360,0.61339011, 0.00058816 ,
4 , 2.30206233, 0.02763389,1.20412095, 0.00605146,0.61020964, 0.00068063 ,,4 , 2.33104055, 0.03611992,1.20453528, 0.00920621,0.61170651, 0.00076908 ,
